"product","productIngredient","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary"
"Body Fortress protein powder","acesulfame potassium","TAS1R2","ENSG00000179002","TAS1R2 (Taste 1 Receptor Member 2) is a Protein Coding gene.                                            Diseases associated with TAS1R2 include Dental Caries and Kagami-Ogata Syndrome.                                            Among its related pathways are Signaling by GPCR and Taste transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and taste receptor activity.                                            An important paralog of this gene is TAS1R1.","TAS1R2 (Taste 1 Receptor Member 2) is a Protein Coding gene.                                            Diseases associated with TAS1R2 include Dental Caries and Kagami-Ogata Syndrome.                                            Among its related pathways are Signaling by GPCR and Taste transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and taste receptor activity.                                            An important paralog of this gene is TAS1R1.","Putative taste receptor. TAS1R2/TAS1R3 recognizes diverse natural and synthetic sweeteners.
                         TS1R2_HUMAN,Q8TE23
                         "
"Body Fortress protein powder","acesulfame potassium","TAS1R3","ENSG00000169962","The protein encoded by this gene is a G-protein coupled receptor involved in taste responses. The encoded protein can form a heterodimeric receptor with TAS1R1 to elicit the umami taste response, or it can bind with TAS1R2 to form a receptor for the sweet taste response. [provided by RefSeq, Nov 2015]","TAS1R3 (Taste 1 Receptor Member 3) is a Protein Coding gene.                                            Diseases associated with TAS1R3 include Dental Caries and Kagami-Ogata Syndrome.                                            Among its related pathways are Signaling by GPCR and Taste transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and taste receptor activity.                                            An important paralog of this gene is TAS1R1.","Putative taste receptor. TAS1R1/TAS1R3 responds to the umami taste stimulus (the taste of monosodium glutamate). TAS1R2/TAS1R3 recognizes diverse natural and synthetic sweeteners. TAS1R3 is essential for the recognition and response to the disaccharide trehalose (By similarity). Sequence differences within and between species can significantly influence the selectivity and specificity of taste responses.
                         TS1R3_HUMAN,Q7RTX0
                         "
"Body Fortress protein powder","acesulfame potassium","TAS2R31","ENSG00000256436","TAS2R44 belongs to the large TAS2R receptor family. TAS2Rs are expressed on the surface of taste receptor cells and mediate the perception of bitterness through a G protein-coupled second messenger pathway (Conte et al., 2002 [PubMed 12584440]). For further information on TAS2Rs, see MIM 604791.[supplied by OMIM, Mar 2009]","TAS2R31 (Taste 2 Receptor Member 31) is a Protein Coding gene.                                                                                        Among its related pathways are Signaling by GPCR and Taste transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and bitter taste receptor activity.                                            An important paralog of this gene is TAS2R45.","Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this receptor may stimulate alpha gustducin, mediate PLC-beta-2 activation and lead to the gating of TRPM5 (By similarity). Activated by the sulfonyl amide sweeteners saccharin and acesulfame K.
                         T2R31_HUMAN,P59538
                         "
"Body Fortress protein powder","acesulfame potassium","TAS2R31","ENSG00000256436","TAS2R44 belongs to the large TAS2R receptor family. TAS2Rs are expressed on the surface of taste receptor cells and mediate the perception of bitterness through a G protein-coupled second messenger pathway (Conte et al., 2002 [PubMed 12584440]). For further information on TAS2Rs, see MIM 604791.[supplied by OMIM, Mar 2009]","TAS2R31 (Taste 2 Receptor Member 31) is a Protein Coding gene.                                                                                        Among its related pathways are Signaling by GPCR and Taste transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and bitter taste receptor activity.                                            An important paralog of this gene is TAS2R45.","Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this receptor may stimulate alpha gustducin, mediate PLC-beta-2 activation and lead to the gating of TRPM5 (By similarity). Activated by the sulfonyl amide sweeteners saccharin and acesulfame K.
                         T2R31_HUMAN,P59538
                         "
"Body Fortress protein powder","acesulfame potassium","TRPV1","ENSG00000196689","Capsaicin, the main pungent ingredient in hot chili peppers, elicits a sensation of burning pain by selectively activating sensory neurons that convey information about noxious stimuli to the central nervous system. The protein encoded by this gene is a receptor for capsaicin and is a non-selective cation channel that is structurally related to members of the TRP family of ion channels. This receptor is also activated by increases in temperature in the noxious range, suggesting that it functions as a transducer of painful thermal stimuli in vivo. Four transcript variants encoding the same protein, but with different 5' UTR sequence, have been described for this gene. [provided by RefSeq, Jul 2008]","TRPV1 (Transient Receptor Potential Cation Channel Subfamily V Member 1) is a Protein Coding gene.                                            Diseases associated with TRPV1 include Somatoform Disorder and Burning Mouth Syndrome.                                            Among its related pathways are Trk receptor signaling mediated by PI3K and PLC-gamma and CREB Pathway.                                            Gene Ontology (GO) annotations related to this gene include transmembrane signaling receptor activity and ion channel activity.                                            An important paralog of this gene is TRPV4.","Ligand-activated non-selective calcium permeant cation channel involved in detection of noxious chemical and thermal stimuli. Seems to mediate proton influx and may be involved in intracellular acidosis in nociceptive neurons. Involved in mediation of inflammatory pain and hyperalgesia. Sensitized by a phosphatidylinositol second messenger system activated by receptor tyrosine kinases, which involves PKC isozymes and PCL. Activation by vanilloids, like capsaicin, and temperatures higher than 42 degrees Celsius, exhibits a time- and Ca(2+)-dependent outward rectification, followed by a long-lasting refractory state. Mild extracellular acidic pH (6.5) potentiates channel activation by noxious heat and vanilloids, whereas acidic conditions (pH <6) directly activate the channel. Can be activated by endogenous compounds, including 12-hydroperoxytetraenoic acid and bradykinin. Acts as ionotropic endocannabinoid receptor with central neuromodulatory effects. Triggers a form of long-term depression (TRPV1-LTD) mediated by the endocannabinoid anandamine in the hippocampus and nucleus accumbens by affecting AMPA receptors endocytosis.
                         TRPV1_HUMAN,Q8NER1
                         "
"Body Fortress protein powder","acesulfame potassium","TAS1R3","ENSG00000169962","The protein encoded by this gene is a G-protein coupled receptor involved in taste responses. The encoded protein can form a heterodimeric receptor with TAS1R1 to elicit the umami taste response, or it can bind with TAS1R2 to form a receptor for the sweet taste response. [provided by RefSeq, Nov 2015]","TAS1R3 (Taste 1 Receptor Member 3) is a Protein Coding gene.                                            Diseases associated with TAS1R3 include Dental Caries and Kagami-Ogata Syndrome.                                            Among its related pathways are Signaling by GPCR and Taste transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and taste receptor activity.                                            An important paralog of this gene is TAS1R1.","Putative taste receptor. TAS1R1/TAS1R3 responds to the umami taste stimulus (the taste of monosodium glutamate). TAS1R2/TAS1R3 recognizes diverse natural and synthetic sweeteners. TAS1R3 is essential for the recognition and response to the disaccharide trehalose (By similarity). Sequence differences within and between species can significantly influence the selectivity and specificity of taste responses.
                         TS1R3_HUMAN,Q7RTX0
                         "
"Body Fortress protein powder","acesulfame potassium","TAS1R2","ENSG00000179002","TAS1R2 (Taste 1 Receptor Member 2) is a Protein Coding gene.                                            Diseases associated with TAS1R2 include Dental Caries and Kagami-Ogata Syndrome.                                            Among its related pathways are Signaling by GPCR and Taste transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and taste receptor activity.                                            An important paralog of this gene is TAS1R1.","TAS1R2 (Taste 1 Receptor Member 2) is a Protein Coding gene.                                            Diseases associated with TAS1R2 include Dental Caries and Kagami-Ogata Syndrome.                                            Among its related pathways are Signaling by GPCR and Taste transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and taste receptor activity.                                            An important paralog of this gene is TAS1R1.","Putative taste receptor. TAS1R2/TAS1R3 recognizes diverse natural and synthetic sweeteners.
                         TS1R2_HUMAN,Q8TE23
                         "
"neurotransmitter","acetylcholine","RAPSN","ENSG00000165917","This gene encodes a member of a family of proteins that are receptor associated proteins of the synapse. The encoded protein contains a conserved cAMP-dependent protein kinase phosphorylation site, and plays a critical role in clustering and anchoring nicotinic acetylcholine receptors at synaptic sites by linking the receptors to the underlying postsynaptic cytoskeleton, possibly by direct association with actin or spectrin. Mutations in this gene may play a role in postsynaptic congenital myasthenic syndromes. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Apr 2011]","RAPSN (Receptor Associated Protein Of The Synapse) is a Protein Coding gene.                                            Diseases associated with RAPSN include Myasthenic Syndrome, Congenital, 11, Associated With Acetylcholine Receptor Deficiency and Fetal Akinesia Deformation Sequence 2.                                            Among its related pathways are Agrin Interactions at Neuromuscular Junction.                                            Gene Ontology (GO) annotations related to this gene include ionotropic glutamate receptor binding and acetylcholine receptor binding.                                            An important paralog of this gene is TTC28.","Postsynaptic protein required for clustering of nicotinic acetylcholine receptors (nAChRs) at the neuromuscular junction. It may link the receptor to the underlying postsynaptic cytoskeleton, possibly by direct association with actin or spectrin.
                         RAPSN_HUMAN,Q13702
                         "
"neurotransmitter","acetylcholine","MUSK","ENSG00000030304","This gene encodes a muscle-specific tyrosine kinase receptor. The encoded protein may play a role in clustering of the acetylcholine receptor in the postsynaptic neuromuscular junction. Mutations in this gene have been associated with congenital myasthenic syndrome. Alternatively spliced transcript variants have been described.[provided by RefSeq, Oct 2009]","MUSK (Muscle Associated Receptor Tyrosine Kinase) is a Protein Coding gene.                                            Diseases associated with MUSK include Fetal Akinesia Deformation Sequence 1 and Myasthenic Syndrome, Congenital, 9, Associated With Acetylcholine Receptor Deficiency.                                            Among its related pathways are Degradation of the extracellular matrix and Activation of cAMP-Dependent PKA.                                            Gene Ontology (GO) annotations related to this gene include transferase activity, transferring phosphorus-containing groups and protein tyrosine kinase activity.                                            An important paralog of this gene is ROS1.","Receptor tyrosine kinase which plays a central role in the formation and the maintenance of the neuromuscular junction (NMJ), the synapse between the motor neuron and the skeletal muscle (PubMed:25537362). Recruitment of AGRIN by LRP4 to the MUSK signaling complex induces phosphorylation and activation of MUSK, the kinase of the complex. The activation of MUSK in myotubes regulates the formation of NMJs through the regulation of different processes including the specific expression of genes in subsynaptic nuclei, the reorganization of the actin cytoskeleton and the clustering of the acetylcholine receptors (AChR) in the postsynaptic membrane. May regulate AChR phosphorylation and clustering through activation of ABL1 and Src family kinases which in turn regulate MUSK. DVL1 and PAK1 that form a ternary complex with MUSK are also important for MUSK-dependent regulation of AChR clustering. May positively regulate Rho family GTPases through FNTA. Mediates the phosphorylation of FNTA which promotes prenylation, recruitment to membranes and activation of RAC1 a regulator of the actin cytoskeleton and of gene expression. Other effectors of the MUSK signaling include DNAJA3 which functions downstream of MUSK. May also play a role within the central nervous system by mediating cholinergic responses, synaptic plasticity and memory formation (By similarity).
                         MUSK_HUMAN,O15146
                         "
"neurotransmitter","acetylcholine","CHRNE","ENSG00000108556","Acetylcholine receptors at mature mammalian neuromuscular junctions are pentameric protein complexes composed of four subunits in the ratio of two alpha subunits to one beta, one epsilon, and one delta subunit. The acetylcholine receptor changes subunit composition shortly after birth when the epsilon subunit replaces the gamma subunit seen in embryonic receptors. Mutations in the epsilon subunit are associated with congenital myasthenic syndrome. [provided by RefSeq, Sep 2009]","CHRNE (Cholinergic Receptor Nicotinic Epsilon Subunit) is a Protein Coding gene.                                            Diseases associated with CHRNE include Myasthenic Syndrome, Congenital, 4A, Slow-Channel and Myasthenic Syndrome, Congenital, 4B, Fast-Channel.                                            Among its related pathways are Succinylcholine Pathway, Pharmacokinetics/Pharmacodynamics and Transmission across Chemical Synapses.                                            Gene Ontology (GO) annotations related to this gene include extracellular ligand-gated ion channel activity.                                            An important paralog of this gene is CHRNG.","After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane.
                         ACHE_HUMAN,Q04844
                         "
