"searchedTranscript","transcriptGene"
"ENST00000533287","ENSG00000254762"
"ENST00000534168","ENSG00000254420"
"ENST00000534420","ENSG00000254673"
"ENST00000535109","ENSG00000255692"
"ENST00000535511","ENSG00000248636"
"ENST00000535961","ENSG00000183889"
"ENST00000536949","ENSG00000256686"
"ENST00000540982","ENSG00000256673"
"ENST00000540993","ENSG00000256804"
"ENST00000541095","ENSG00000256654"
"ENST00000541353","ENSG00000255583"
"ENST00000546339","ENSG00000284697"
"ENST00000546738","ENSG00000257985"
"ENST00000547552","ENSG00000258001"
"ENST00000548124","ENSG00000248975"
"ENST00000548593","ENSG00000257390"
"ENST00000548819","ENSG00000257285"
"ENST00000548901","ENSG00000257438"
"ENST00000548924","ENSG00000258168"
"ENST00000548926","ENSG00000258090"
"ENST00000548943","ENSG00000257611"
"ENST00000549516","ENSG00000258283"
"ENST00000549658","ENSG00000257403"
"ENST00000549756","ENSG00000257769"
"ENST00000550637","ENSG00000257639"
"ENST00000551408","ENSG00000258592"
"ENST00000551806","ENSG00000111780"
"ENST00000551946","ENSG00000258311"
"ENST00000552477","ENSG00000257941"
"ENST00000553082","ENSG00000257904"
"ENST00000553919","ENSG00000259152"
"ENST00000555149","ENSG00000258968"
"ENST00000555875","ENSG00000258672"
"ENST00000556390","ENSG00000258658"
"ENST00000556713","ENSG00000258857"
"ENST00000557409","ENSG00000258957"
"ENST00000557733","ENSG00000258749"
"ENST00000557953","ENSG00000259759"
"ENST00000558429","ENSG00000259532"
"ENST00000558443","ENSG00000259682"
"ENST00000558568","ENSG00000272639"
"ENST00000559410","ENSG00000259603"
"ENST00000559611","ENSG00000259542"
"ENST00000559666","ENSG00000259415"
"ENST00000559675","ENSG00000259508"
"ENST00000560487","ENSG00000259711"
"ENST00000560531","ENSG00000259277"
"ENST00000560705","ENSG00000259200"
"ENST00000560870","ENSG00000259645"
"ENST00000561672","ENSG00000260922"
"ENST00000562538","ENSG00000260246"
"ENST00000563072","ENSG00000261838"
"ENST00000563128","ENSG00000285117"
"ENST00000563761","ENSG00000261434"
"ENST00000564269","ENSG00000261318"
"ENST00000564505","ENSG00000259899"
"ENST00000565320","ENSG00000260970"
"ENST00000566032","ENSG00000260269"
"ENST00000566085","ENSG00000260874"
"ENST00000566114","ENSG00000260617"
"ENST00000567089","ENSG00000261822"
"ENST00000567158","ENSG00000260790"
"ENST00000567967","ENSG00000260385"
"ENST00000568267","ENSG00000261193"
"ENST00000568353","ENSG00000258130"
"ENST00000568585","ENSG00000260262"
"ENST00000568972","ENSG00000261569"
"ENST00000569859","ENSG00000260158"
"ENST00000569892","ENSG00000261403"
"ENST00000570612","ENSG00000226089"
"ENST00000574267","ENSG00000262769"
"ENST00000574529","ENSG00000263189"
"ENST00000576468","ENSG00000262668"
"ENST00000576825","ENSG00000262777"
"ENST00000577048","ENSG00000263065"
"ENST00000577848","ENSG00000266401"
"ENST00000579126","ENSG00000265257"
"ENST00000579164","ENSG00000265798"
"ENST00000579580","ENSG00000264982"
"ENST00000579673","ENSG00000264304"
"ENST00000582566","ENSG00000263648"
"ENST00000582941","ENSG00000266050"
"ENST00000583156","ENSG00000263717"
"ENST00000583161","ENSG00000266588"
"ENST00000584036","ENSG00000264596"
"ENST00000584219","ENSG00000266599"
"ENST00000584365","ENSG00000266664"
"ENST00000585071","ENSG00000278770"
"ENST00000585187","ENSG00000264057"
"ENST00000585369","ENSG00000267263"
"ENST00000585880","ENSG00000267612"
"ENST00000585882","ENSG00000232295"
"ENST00000586020","ENSG00000267385"
"ENST00000586675","ENSG00000267304"
"ENST00000586974","ENSG00000232295"
"ENST00000587078","ENSG00000267198"
"ENST00000587348","ENSG00000267615"
"ENST00000588324","ENSG00000232006"
"ENST00000588402","ENSG00000267006"
"ENST00000588891","ENSG00000267314"
"ENST00000589365","ENSG00000267063"
"ENST00000589826","ENSG00000267461"
"ENST00000589963","ENSG00000267546"
"ENST00000590117","ENSG00000267054"
"ENST00000590292","ENSG00000267751"
"ENST00000590417","ENSG00000231616"
"ENST00000590929","ENSG00000256616"
"ENST00000591297","ENSG00000227678"
"ENST00000592030","ENSG00000267009"
"ENST00000592103","ENSG00000267640"
"ENST00000592747","ENSG00000266957"
"ENST00000593139","ENSG00000267042"
"ENST00000593967","ENSG00000232732"
"ENST00000594311","ENSG00000267905"
"ENST00000594558","ENSG00000268756"
"ENST00000596210","ENSG00000269388"
"ENST00000596274","ENSG00000244513"
"ENST00000596488","ENSG00000268157"
"ENST00000596778","ENSG00000269504"
"ENST00000597256","ENSG00000267986"
"ENST00000597989","ENSG00000267922"
"ENST00000598664","ENSG00000268400"
"ENST00000598950","ENSG00000269736"
"ENST00000600469","ENSG00000268119"
"ENST00000600739","ENSG00000228748"
"ENST00000601192","ENSG00000269604"
"ENST00000601694","ENSG00000235979"
"ENST00000601921","ENSG00000232729"
"ENST00000602771","ENSG00000270077"
"ENST00000602913","ENSG00000270135"
"ENST00000603208","ENSG00000270393"
"ENST00000603284","ENSG00000270866"
"ENST00000603682","ENSG00000270661"
"ENST00000604143","ENSG00000271025"
"ENST00000604342","ENSG00000271597"
"ENST00000604625","ENSG00000270409"
"ENST00000604758","ENSG00000271424"
"ENST00000605307","ENSG00000270575"
"ENST00000605434","ENSG00000270435"
"ENST00000605661","ENSG00000270702"
"ENST00000605733","ENSG00000270409"
"ENST00000606447","ENSG00000272263"
"ENST00000606879","ENSG00000272461"
"ENST00000607119","ENSG00000272541"
"ENST00000607292","ENSG00000272319"
"ENST00000607415","ENSG00000271868"
"ENST00000607541","ENSG00000272202"
"ENST00000607794","ENSG00000272079"
"ENST00000608436","ENSG00000272678"
"ENST00000608748","ENSG00000272864"
"ENST00000608767","ENSG00000272991"
"ENST00000609038","ENSG00000273342"
"ENST00000609234","ENSG00000272969"
"ENST00000609320","ENSG00000273451"
"ENST00000609463","ENSG00000273011"
"ENST00000609514","ENSG00000273143"
"ENST00000609813","ENSG00000272719"
"ENST00000609916","ENSG00000273444"
"ENST00000610143","ENSG00000272954"
"ENST00000610187","ENSG00000273249"
"ENST00000311841","ENSG00000256407"
"ENST00000322227","ENSG00000177369"
"ENST00000330168","ENSG00000248751"
"ENST00000362680","ENSG00000199550"
"ENST00000362885","ENSG00000199755"
"ENST00000363020","ENSG00000199890"
"ENST00000364268","ENSG00000275930"
"ENST00000364281","ENSG00000201151"
"ENST00000364806","ENSG00000201676"
"ENST00000364992","ENSG00000276178"
"ENST00000365074","ENSG00000201944"
"ENST00000365385","ENSG00000202255"
"ENST00000365644","ENSG00000202514"
"ENST00000370548","ENSG00000267561"
"ENST00000380259","ENSG00000239920"
"ENST00000381106","ENSG00000285756"
"ENST00000383965","ENSG00000206692"
"ENST00000384198","ENSG00000206925"
"ENST00000394808","ENSG00000218713"
"ENST00000396110","ENSG00000213754"
"ENST00000397037","ENSG00000213959"
"ENST00000404707","ENSG00000217612"
"ENST00000406807","ENSG00000219553"
"ENST00000408826","ENSG00000221753"
"ENST00000409439","ENSG00000282907"
"ENST00000411669","ENSG00000231464"
"ENST00000411727","ENSG00000223930"
"ENST00000412065","ENSG00000279317"
"ENST00000412241","ENSG00000230010"
"ENST00000412669","ENSG00000223969"
"ENST00000412769","ENSG00000235105"
