"searchedTranscript","transcriptGene"
"ENST00000011684","PLEKHG6"
"ENST00000177694","TBX21"
"ENST00000206513","CEBPE"
"ENST00000207157","TBX15"
"ENST00000216211","UPK3A"
"ENST00000218004","NXT2"
"ENST00000218224","PQBP1"
"ENST00000225760","PRR29"
"ENST00000225823","ASIC2"
"ENST00000226021","CACNG1"
"ENST00000227348","CRTAM"
"ENST00000228841","MYL2"
"ENST00000229002","RERGL"
"ENST00000229265","CDCA3"
"ENST00000229810","RHAG"
"ENST00000230113","LINC01702"
"ENST00000231357","IRX4"
"ENST00000231683","HRH2"
"ENST00000232975","TNNC1"
"ENST00000233638","TLX2"
"ENST00000233840","NEU2"
"ENST00000234798","TPSG1"
"ENST00000237014","TTR"
"ENST00000239451","SLC25A2"
"ENST00000240306","DLX4"
"ENST00000241256","GHSR"
"ENST00000241651","MYOG"
"ENST00000242819","CCDC70"
"ENST00000243082","HOXC11"
"ENST00000244891","TRIM51"
"ENST00000246515","SLURP1"
"ENST00000246784","BCL2L12"
"ENST00000247291","AIF1L"
"ENST00000247306","CTAG2"
"ENST00000247829","TSPAN8"
"ENST00000249501","HOXD10"
"ENST00000249504","HOXD11"
"ENST00000251296","IGSF21"
"ENST00000251739","VPS50"
"ENST00000252825","HRC"
"ENST00000253109","ANGPTL6"
"ENST00000253513","IDO1"
"ENST00000253789","PSMC3IP"
"ENST00000254963","HSPA12B"
"ENST00000255326","RNF17"
"ENST00000255465","CCNA1"
"ENST00000259466","OR1L4"
"ENST00000260988","CRYGB"
"ENST00000261007","CHRNA1"
"ENST00000261454","PROX1"
"ENST00000261963","MCF2L"
"ENST00000262551","OGN"
"ENST00000262630","ZBTB32"
"ENST00000263932","TNFRSF8"
"ENST00000264234","UPK1B"
"ENST00000264601","RAB17"
"ENST00000264661","KCNH4"
"ENST00000264811","TRPC3"
"ENST00000265627","PON3"
"ENST00000266086","SLC5A4"
"ENST00000266088","SLC5A1"
"ENST00000266434","BCL2L14"
"ENST00000266674","LGR5"
"ENST00000267291","RNF113B"
"ENST00000268756","PHF12"
"ENST00000268912","OR4D1"
"ENST00000272286","ABCG8"
"ENST00000272520","C1QL2"
"ENST00000277465","CIZ1"
"ENST00000280696","THRB"
"ENST00000282928","ZIC1"
"ENST00000284311","GPR15"
"ENST00000286650","TTLL5"
"ENST00000287713","NMNAT2"
"ENST00000287907","HTR5A"
"ENST00000287913","TSSK4"
"ENST00000288839","SSX2B"
"ENST00000289429","CD1A"
"ENST00000290390","C2orf81"
"ENST00000290419","PPP1R12B"
"ENST00000290722","PGLYRP3"
"ENST00000292327","MYL3"
"ENST00000292574","CCDC105"
"ENST00000293670","KRT83"
"ENST00000293968","CCNF"
"ENST00000293978","PAQR4"
"ENST00000294728","VCAM1"
"ENST00000294984","IL24"
"ENST00000295989","CAND2"
"ENST00000296046","CPA3"
"ENST00000296333","PIGX"
"ENST00000297313","RGS20"
"ENST00000297819","SSMEM1"
"ENST00000298566","BCL2L14"
"ENST00000298942","PTER"
"ENST00000299022","LIPC"
"ENST00000299252","MDM2"
"ENST00000299612","MAPK7"
"ENST00000301141","CYP2A6"
"ENST00000301396","PELP1"
"ENST00000301466","SOAT2"
"ENST00000302005","HSPB3"
"ENST00000302071","SESN1"
"ENST00000304081","NT5C1B"
"ENST00000304355","SPACA5"
"ENST00000304546","ECEL1"
"ENST00000306764","RCAN2"
"ENST00000307068","SOSTDC1"
"ENST00000307552","OR10V1"
"ENST00000307954","FNIP1"
"ENST00000308227","RNASE8"
"ENST00000308682","OR7D4"
"ENST00000308744","NPFFR2"
"ENST00000309285","XCR1"
"ENST00000310677","ADCY4"
"ENST00000310991","TMEM52"
"ENST00000311762","TRHR"
"ENST00000311822","RNF32"
"ENST00000311967","NRF1"
"ENST00000312150","KRT25"
"ENST00000312457","GPR152"
"ENST00000313049","PTH1R"
"ENST00000313352","PUF60"
"ENST00000314117","RELL1"
"ENST00000314348","PPP2R2C"
"ENST00000314527","PALM2AKAP2"
"ENST00000314594","R3HCC1L"
"ENST00000314644","OR4C15"
"ENST00000315519","OR11H6"
"ENST00000315947","OR4N2"
"ENST00000316517","OR56B3P"
"ENST00000318050","OR4F17"
"ENST00000319338","IGSF22"
"ENST00000319636","ZNF479"
"ENST00000319637","EPHA10"
"ENST00000320516","CCDC65"
"ENST00000320767","ARL14"
"ENST00000321252","OR6T1"
"ENST00000321255","OR51V1"
"ENST00000321800","LINC00469"
"ENST00000321870","BHLHE22"
"ENST00000322122","TRIM72"
"ENST00000322487","ZNF726"
"ENST00000322945","MAZ"
"ENST00000323594","PHYKPL"
"ENST00000323938","LGALS8"
"ENST00000324662","CD19"
"ENST00000325411","SLC47A2"
"ENST00000326016","ARHGEF4"
"ENST00000326183","OR4F4"
"ENST00000326571","GPR139"
"ENST00000326621","VSIG2"
"ENST00000327087","ANO2"
"ENST00000327098","TBC1D31"
"ENST00000327564","LRRC37B"
"ENST00000327928","OTOL1"
"ENST00000328207","OR5BS1P"
"ENST00000328570","OR2T29"
"ENST00000328654","ZNF26"
"ENST00000328795","OR4N4"
"ENST00000329620","WBP2NL"
"ENST00000331128","H2AC21"
"ENST00000331393","EPB41L5"
"ENST00000331683","SPAG16"
"ENST00000332043","OR51J1"
"ENST00000332302","ZNF816"
"ENST00000332427","GPR19"
"ENST00000332800","GH2"
"ENST00000332821","SERPINB3"
"ENST00000334134","FGF3"
"ENST00000334510","SLC25A23"
"ENST00000335094","OR6N1"
"ENST00000335450","ACVR1C"
"ENST00000335479","DEFB106B"
"ENST00000335542","GHRL"
"ENST00000335552","KRT26"
"ENST00000336119","NLRP3"
"ENST00000336411","CYP3A4"
"ENST00000336557","CIDEB"
