"Ensembl_ID","patient1_healthy","patient2_healthy","patient3_healthy","patient4_healthy","patient5_healthy","patient6_healthy","patient7_healthy","patient8_healthy","patient9_healthy","patient10_healthy","patient1_diseased","patient2_diseased","patient3_diseased","patient4_diseased","patient5_diseased","patient6_diseased","patient7_diseased","patient8_diseased","patient9_diseased","patient10_diseased","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression"
"ENST00000011684",0,0.03,0,0,0,0,0.08,0,0,0,0,0.15,0.1,0.21,0,0.04,0,0,0.12,0.06,0.01,0.07,5.41,0.06
"ENST00000025469",0,0,0.19,0,0.06,0,0,0,0.77,0.49,0,0.9,2.2,1.01,0,0.2,0.35,0,0.74,0,0.11,0.54,4.72,0.43
"ENST00000177694",0,0,0,0,0,0,0,0.06,0,0.11,0.19,0,0.05,0.02,0,0,0,0,0,0,0.01,0.03,4.08,0.02
"ENST00000193029",0,0,0,0,0.17,0,0,0,0,1.57,0,0.56,0,0,0,0.56,0,0,0.3,0.16,0.02,0.16,8.13,0.14
"ENST00000206513",0,0,0,0,0,0.07,0.03,0,0,0,0.17,0,0,0,0,0.03,0.1,0,0.07,0.11,0.01,0.05,4.21,0.04
"ENST00000207157",0.4,0,0.57,0,1.04,0.15,0.17,0.19,0.3,0.52,2.86,2.62,0.32,2.99,0.81,3.99,2.49,1.86,2.28,1.72,0.31,2.19,6.98,1.88
"ENST00000216211",0,0,0,0,0,0.06,0,0,0,0.06,0.18,0,0,0.12,0,0,0,0.13,0.06,0,0.01,0.05,6.95,0.04
"ENST00000218004",0,0.33,0,0,0,0,0,0,0,0.25,1.47,0.87,0.94,0,0,0,0,0.53,0,0,0.04,0.38,10.24,0.34
"ENST00000218224",0,0,0,0,0,0,1.18,0.04,0,0.55,1.14,0.02,0.2,0,0,0.27,1.04,0,2.97,0.46,0.13,0.61,4.51,0.47
"ENST00000222753",0.08,0.06,0.11,0,0.2,0.03,0.08,0.07,0.1,0.04,0.22,0.42,0.49,0.92,0.6,0.15,0.34,0.26,0.65,0.37,0.08,0.44,5.59,0.36
"ENST00000225760",0,0,0,0,0.07,0,0.01,0,0,0.32,0.18,0,0,0,0.06,0,0,0.33,0,0,0.01,0.06,7.07,0.05
"ENST00000225823",0,0,0,0,0,0.06,0,0,0.01,0.05,0.2,0.07,0.04,0,0.01,0.06,0.04,0.03,0.13,0,0.01,0.06,7.06,0.05
"ENST00000226021",0,0,0,0,0.05,0,0,0,0.05,0,0.27,0.05,0.36,0,0,0,0,0,0.05,0,0.01,0.07,6.49,0.06
"ENST00000227348",0,0.13,0,0.17,0.08,0,0,0,0,0.1,0,0.82,0.51,1.08,0.06,0.11,0,0,0.27,0,0.04,0.29,6.86,0.24
"ENST00000228841",0,0,0.22,0,0,0,0,0,0,0,0,0,1.31,0.19,0,0,0,0.2,0,0,0.02,0.17,6.95,0.15
"ENST00000229002",0,0,0,0,0,0.07,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0.01,0.06,7.19,0.05
"ENST00000229265",0,0,0,0,0,0.12,0,0.26,0,0,1.44,0,0,0,0,0.16,0.16,0.31,0.83,0.17,0.04,0.31,7.22,0.26
"ENST00000229810",0,0,0,0,0.07,0,0,0,0,0,0.47,0,0,0.06,0,0.06,0,0.06,0,0,0.01,0.07,8.83,0.06
"ENST00000230113",0,0,0,0,0,0,0.43,0,0,0,1.76,0,0,0,0,0.45,0,0,0,0,0.05,0.22,4.65,0.17
"ENST00000231357",0,0,0,0,0,0.07,0,0,0,0,0.19,0,0,0,0.08,0,0.09,0,0,0,0.01,0.04,4.71,0.03
"ENST00000231683",0,0,0.11,0,0,0,0,0,0,0,0,0.56,0.4,0.19,0,0.36,0,0,0,0,0.01,0.15,12.83,0.14
"ENST00000232975",0,0.34,0,0,0.26,0,0,0.11,0.22,0.32,0,0.43,3.87,0.76,0,0,0,0,0,0,0.1,0.51,4.89,0.4
"ENST00000233638",0.1,0.07,0.05,0,0.08,0.02,0.02,0,0,0.04,0.06,0.09,0.09,0,0.56,0.19,0.09,0.19,0.07,0.22,0.04,0.16,4.03,0.12
"ENST00000233840",0,0,0,0,0,0,0,0.05,0,0,0.15,0,0.05,0,0,0,0,0.05,0,0.06,0.01,0.03,5.43,0.03
"ENST00000234798",0,0,0,0,0,0,0,0,0.05,0,0.1,0,0.08,0,0,0,0,0.05,0,0.12,0.01,0.04,6.09,0.03
"ENST00000237014",0.08,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0,0,0,0.25,0,0,0.01,0.05,5.82,0.04
"ENST00000239451",0,0,0,0,0,0,0,0,0.05,0.09,0.27,0,0,0,0,0,0,0.09,0.05,0,0.01,0.04,8.1,0.04
"ENST00000240306",0.17,0,0.07,0,0.14,0.07,0.07,0.07,0,0.19,0.49,0.13,0.13,0.2,0.07,0,0.18,0.63,0.55,0.32,0.07,0.27,4.14,0.2
"ENST00000241256",0.05,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0.16,0.12,0.01,0.06,11.09,0.05
"ENST00000241651",0,0.04,0.08,0,0,0,0,0,0.14,0.03,0.04,0.36,2.45,0.07,0,0,0,0,0.07,0,0.03,0.3,10.41,0.27
"ENST00000242819",0,0,0,0,0,0,0,0.05,0,0,0.38,0,0,0,0,0,0,0,0,0,0.01,0.04,6.2,0.03
"ENST00000243082",0.11,0.51,0.17,1.34,2.08,0,0,0.08,0.16,0.54,2.94,3.25,2.77,4.05,2.11,0,3.42,0.11,3.59,2.33,0.49,2.46,4.98,1.96
"ENST00000244891",0,0,0.06,0,0,0,0,0,0,0,0.16,0,0,0.05,0,0,0,0,0,0.06,0.01,0.03,4.4,0.02
"ENST00000245811",0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.05,0.22,0,0,0,0,0.11,0.01,0.04,6.07,0.03
"ENST00000246515",0,0,0,0,0,0,0,0,0.22,0,0.64,0.89,0,0,0,0,0,0.24,0.23,0,0.02,0.2,8.34,0.18
"ENST00000246784",0,0,0.33,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0.04,0.2,5.5,0.17
"ENST00000247291",0,0.17,0.52,0,0,0.14,0,0,0,0,0,0.63,1.64,2.62,0.21,0,0.09,0,0.05,0,0.09,0.52,5.66,0.43
"ENST00000247306",0.05,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0,0,0,0,0,0,0.07,0.01,0.03,4.25,0.02
"ENST00000247829",0,0.5,0,0,0,0,0,0.13,0,0,0,1.39,0,0,0.13,0,0.91,0,0.13,0.39,0.07,0.29,4.22,0.22
"ENST00000249501",0.12,0,0.23,0,0.2,0.26,0.39,0.15,0.37,0,0.25,0,0.06,0.06,1.27,0.16,0.09,6.87,1.36,0.25,0.19,1.04,5.41,0.85
"ENST00000249504",0,0.06,0.07,0,0,0.13,0.06,0.05,0.12,0,0.13,0.05,0.03,0.09,0.3,0,0.09,2.19,0.44,0,0.06,0.33,6,0.28
"ENST00000251296",0.07,0,0,0,0,0,0,0,0,0.23,0.18,0,0,0,0,0.08,0.03,0,0,0.04,0.01,0.03,4.15,0.03
"ENST00000251739",0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,2.08,1.37,0,0,0,1.11,0.03,0.46,15.5,0.43
"ENST00000252825",0.11,0,0,0,0,0,0,0,0,0,0,0.02,0.31,0,0,0.09,0.24,0,0,0,0.01,0.07,5.28,0.05
"ENST00000253109",0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.22,0.24,0,0,0.06,0,0,0.01,0.05,4.16,0.04
"ENST00000253513",0,0,0,0,0.07,0,0,0,0.05,0,0.09,0.41,0,0,0,0,0,0,0,0.05,0.01,0.05,4.1,0.04
"ENST00000253789",0,0,0.11,0,0.12,0,0.08,0,0.11,0,0,0.24,0,1.27,0,0.2,0.24,0,0.2,0,0.05,0.22,4.74,0.17
